,word,type,cefr,phon_br,phon_n_am,translation,definition,example
615,bottle,noun,a1,/?b?tl/,/?bɑ?tl/,瓶子（玻璃或塑料容器，通常为圆形，颈部窄，用于储存液体）,"a glass or plastic container, usually round with straight sides and a narrow neck, used especially for storing liquids",a wine/beer/milk/water bottle
616,bottom,adjective,a2,/?b?t?m/,/?bɑ?t?m/,底部的（在最低、最后或最远的位置）,"in the lowest, last or furthest place or position",your bottom lip 
617,bottom,noun,a2,/?b?t?m/,/?bɑ?t?m/,底部（某物的最低部分）,the lowest part of something,the bottom of the screen/stairs/hill
618,bounce,verb,c1,/ba?ns/,/ba?ns/,弹跳（从刚接触的表面迅速弹开，或使某物这样做）,"if something bounces or you bounce it, it moves quickly away from a surface it has just hit or you make it do this",The ball bounced twice before he could reach it.
619,bound,adjective,b2,/ba?nd/,/ba?nd/,肯定的，必然的（肯定或很可能发生、做或成为某样事物）,"certain or likely to happen, or to do or be something",There are bound to be changes when the new system is introduced.
620,boundary,noun,c1,/?ba?ndri/,/?ba?ndri/,边界（标志事物极限或边缘的界线；分界线）,a real or imagined line that marks the limits or edges of something and separates it from other things or places; a dividing line,After the war the national boundaries were redrawn.
621,bow,noun,c1,/ba?/,/ba?/,鞠躬（低头或弯腰以示问候、告别或尊敬的行为）,the act of bending your head or the upper part of your body forward in order to say hello or goodbye to somebody or to show respect,She gave a slight bow of her head in greeting.
622,bow,verb,c1,/ba?/,/ba?/,鞠躬（低头或弯下上半身以示尊敬、问候或告别）,to move your head or the top half of your body forwards and downwards as a sign of respect or to say hello or goodbye,"bow (to/before somebody/something), He bowed low to the assembled crowd."
623,bowl,noun,a2,/b??l/,/b??l/,碗（深圆形的碟子，顶部开阔，用于盛放食物或液体）,"a deep round dish with a wide open top, used especially for holding food or liquid",a salad/fruit/sugar bowl 
624,box,noun,a1,/b?ks/,/bɑ?ks/,盒子（木头、厚纸板、金属等制成的容器，有坚固底座和侧面，通常有盖）,"a container made of wood, thick card, metal, etc. with a flat stiff base and sides and often a lid (= cover), used especially for holding solid things","in a box, Everything we owned was neatly packed in cardboard boxes."
625,boy,noun,a1,/b??/,/b??/,男孩（男孩子或年轻男性）,a male child or a young male person,a little/small/young boy
626,boyfriend,noun,a1,/?b??frend/,/?b??frend/,男朋友（某人与其有浪漫或性关系的男性或男孩）,a man or boy that somebody has a romantic or sexual relationship with,She's got a new boyfriend.
627,brain,noun,a2,/bre?n/,/bre?n/,大脑（头部的器官，控制运动、思维、记忆和感觉）,"the organ inside the head that controls movement, thought, memory and feeling",The human brain is a complex organ.
628,branch,noun,b1,/brɑ?nt?/,/br?nt?/,树枝（树主干上长出的部分，其上长有叶、花和果实）,"a part of a tree that grows out from the main stem and on which leaves, flowers and fruit grow",She climbed the tree and hid in the branches.
629,brand,noun,b1,/br?nd/,/br?nd/,品牌（公司在特定名称下生产或提供的产品、服务等类型）,"a type of product, service, etc. made or offered by a particular company under a particular name",a well-known brand of toothpaste
630,brand,verb,b1,/br?nd/,/br?nd/,打品牌（对某物应用品牌名称、形象或身份）,"to apply a brand name, image or identity to something","brand something, The website was not doing a very good job of branding the company. "
631,brave,adjective,b1,/bre?v/,/bre?v/,勇敢的（愿意做困难、危险或痛苦的事；不害怕）,"willing to do things that are difficult, dangerous or painful; not afraid",brave men and women
632,breach,noun,c1,/bri?t?/,/bri?t?/,违反（未能履行法律规定的义务）,a failure to do something that must be done by law,a breach of contract/copyright/warranty
633,breach,verb,c1,/bri?t?/,/bri?t?/,违背（未遵守协议或未履行承诺）,to not keep to an agreement or not keep a promise,The government is accused of breaching the terms of the treaty.
634,bread,noun,a1,/bred/,/bred/,面包（由面粉、水和酵母混合烘焙而成的食品）,"a type of food made from flour, water and usually yeast mixed together and baked",a loaf/slice/piece of bread
635,break,noun,a1,/bre?k/,/bre?k/,休息，间歇（停止正在做的事进行休息、用餐等的短时间）,"a short period of time when you stop what you are doing and rest, eat, etc.",She was on her lunch break.
636,break,verb,a1,/bre?k/,/bre?k/,打破，破碎（因受力而损坏并分成两部分或更多；以这种方式损坏某物）,"to be damaged and separated into two or more parts, as a result of force; to damage something in this way",All the windows broke with the force of the blast.
637,breakdown,noun,c1,/?bre?kda?n/,/?bre?kda?n/,故障（车辆或机器停止工作的场合）,an occasion when a vehicle or machine stops working,a breakdown on the motorway
638,breakfast,noun,a1,/?brekf?st/,/?brekf?st/,早餐（一天的第一餐）,the first meal of the day,They were having breakfast when I arrived.
639,breakthrough,noun,c1,/?bre?kθru?/,/?bre?kθru?/,突破（可能导致协议或成就的重要进展）,an important development that may lead to an agreement or achievement,to make/achieve a breakthrough
640,breast,noun,b2,/brest/,/brest/,乳房（女性身体前部两个产生乳汁的圆软部分之一）,either of the two round soft parts at the front of a woman’s body that produce milk when she has had a baby,She put the baby to her breast.
641,breath,noun,b1,/breθ/,/breθ/,呼吸（吸入肺部并再次呼出的空气）,the air that you take into your lungs and send out again,His breath smelt of garlic.
642,breathe,verb,b1,/bri?e/,/bri?e/,呼吸（通过鼻子或嘴将空气吸入肺部并呼出）,to take air into your lungs and send it out again through your nose or mouth,He breathed deeply before speaking again.
643,breathing,noun,b1,/?bri?e??/,/?bri?e??/,呼吸（将空气吸入肺部并呼出的动作）,the action of taking air into the lungs and sending it out again,Her breathing became steady and she fell asleep.
644,breed,noun,c1,/bri?d/,/bri?d/,品种（经人工培育具有特定特征的动物类型，尤指狗、猫或家畜）,"a particular type of animal that has been developed by people in a certain way, especially a type of dog, cat or farm animal",Labradors and other large breeds of dog
645,breed,verb,c1,/bri?d/,/bri?d/,繁殖（进行性行为并产生后代）,to have sex and produce young,Many animals breed only at certain times of the year.
646,brick,noun,b2,/br?k/,/br?k/,砖（用于建筑墙壁、房屋等的烘烤粘土块；单块砖）,"baked clay used for building walls, houses and other buildings; an individual block of this",The school is built of brick.
647,bride,noun,b1,/bra?d/,/bra?d/,新娘（婚礼当天、婚前或婚后不久的女性）,"a woman on her wedding day, or just before or just after it",a toast to the bride and groom
648,bridge,noun,a2,/br?d?/,/br?d?/,桥（建在道路、铁路、河流等上方的结构，供人或车过河/跨路）,"a structure that is built over a road, railway, river, etc. so that people, vehicles, etc. can cross from one side to the other",We crossed the bridge over the River Windrush.
649,brief,adjective,b2,/bri?f/,/bri?f/,简短的（持续时间很短的；短的）,lasting only a short time; short,a brief visit/meeting/conversation
650,briefly,adverb,b2,/?bri?fli/,/?bri?fli/,简短地（在很短的时间内）,for a short time,He had spoken to Emma only briefly.
651,bright,adjective,a2,/bra?t/,/bra?t/,明亮的（充满光亮的；强烈闪耀的）,full of light; shining strongly,bright light/sunshine
652,brilliant,adjective,a2,/?br?li?nt/,/?br?li?nt/,出众的，灿烂的（极其聪明或令人印象深刻的）,extremely clever or impressive,What a brilliant idea!
653,bring,verb,a1,/br??/,/br??/,带来（带着某人/某物来到某地）,to come to a place with somebody/something,"bring somebody/something (with you), Don't forget to bring your books with you."
654,broad,adjective,b2,/br??d/,/br??d/,宽阔的（宽的）,wide,a broad street/avenue/river
655,broadband,noun,c1,/?br??db?nd/,/?br??db?nd/,宽带（一种始终连接且能快速接收信息、图片的网络连接方式）,"a way of connecting to the internet that allows you to receive information, including pictures, etc., very quickly and that is always active (so that the user does not have to connect each time)",plans to provide rural areas with fast broadband
656,broadcast,noun,b2,/?br??dkɑ?st/,/?br??dk?st/,广播节目（无线电或电视节目）,a radio or television programme,"(British English), a party political broadcast (= for example, before an election)"
657,broadcast,verb,b2,/?br??dkɑ?st/,/?br??dk?st/,广播（在电视或无线电上发送节目）,to send out programmes on television or radio,The concert will be broadcast live (= at the same time as it takes place) tomorrow evening.
658,broadcaster,noun,b2,/?br??dkɑ?st?(r)/,/?br??dk?st?r/,广播员（在电视或无线电节目中主持或谈话的人）,a person whose job is presenting or talking on television or radio programmes,She is a writer and broadcaster on environmental matters.
659,broadly,adverb,b2,/?br??dli/,/?br??dli/,概括地说（通常而言，不考虑细节）,"generally, without considering details","Broadly speaking, I agree with you."
660,broken,adjective,a2,/?br??k?n/,/?br??k?n/,破碎的（已损坏或受伤的；不再完整或不能正常工作的）,that has been damaged or injured; no longer whole or working correctly,a broken window/plate
661,brother,noun,a1,/?br?e?(r)/,/?br?e?r/,兄弟（与另一人父母相同的男孩或男人）,a boy or man who has the same parents as another person,We're brothers.
662,brown,adjective,a1,/bra?n/,/bra?n/,棕色的（土地或咖啡的颜色）,having the colour of earth or coffee,brown eyes/hair
663,brown,noun,a1,/bra?n/,/bra?n/,棕色（土地或咖啡的颜色）,the colour of earth or coffee,leaves of various shades of brown
664,browser,noun,c1,/?bra?z?(r)/,/?bra?z?r/,浏览器（让你在万维网上查看或阅读文档的计算机程序）,a computer program that lets you look at or read documents on the World Wide Web,What do you use as your default browser?
665,brush,noun,a2,/br??/,/br??/,刷子（由短而硬的毛或线制成的工具，用于清洁、绘画或整理头发）,"an object made of short stiff hairs (called bristles) or wires set in a block of wood or plastic, usually attached to a handle. Brushes are used for many different jobs, such as cleaning, painting and tidying your hair.",a paintbrush
666,brush,verb,a2,/br??/,/br??/,刷（用刷子清洁、磨光或使某物平滑）,"to clean, polish or make something smooth with a brush","brush something, to brush your hair/teeth"
667,brutal,adjective,c1,/?bru?tl/,/?bru?tl/,残忍的（暴力且冷酷的）,violent and cruel,a brutal attack/murder/rape/killing
668,bubble,noun,b1,/?b?bl/,/?b?bl/,气泡（液体中的空气或气体球，或固体物质如玻璃内部的空气球）,"a ball of air or gas in a liquid, or a ball of air inside a solid substance such as glass",champagne bubbles
669,buck,noun,c1,/b?k/,/b?k/,美元（美国、澳大利亚或新西兰的元；南非兰特等货币的俗称）,"a US, Australian or New Zealand dollar; a South African rand; an Indian rupee",They cost ten bucks.
670,buddy,noun,c1,/?b?di/,/?b?di/,伙伴（朋友）,a friend,an old college buddy of mine
671,budget,noun,b2,/?b?d??t/,/?b?d??t/,预算（个人或组织可用资金及其在一段时间内的支出计划）,the money that is available to a person or an organization and a plan of how it will be spent over a period of time,an annual budget of ￡10 million 
672,buffer,noun,c1,/?b?f?(r)/,/?b?f?r/,缓冲（减轻冲击或保护某人/某物免受困难的事物或人）,a thing or person that reduces a shock or protects somebody/something against difficulties,"buffer against something, Support from family and friends acts as a buffer against stress."
673,bug,noun,b2,/b?ɡ/,/b?ɡ/,小虫（任何细小的昆虫）,any small insect,There's a bug crawling up your arm.
674,build,verb,a1,/b?ld/,/b?ld/,建造（通过组合部件制造某物，尤指建筑物）,"to make something, especially a building, by putting parts together","build (something), They have permission to build 200 new homes."
675,building,noun,a1,/?b?ld??/,/?b?ld??/,建筑物（有屋顶和墙壁的结构，如房屋或学校）,a structure such as a house or school that has a roof and walls,a tall/high-rise/ten-storey building
676,bulk,noun,c1,/b?lk/,/b?lk/,主体，大部分（某物的主要部分；某物的大部分）,the main part of something; most of something,The bulk of the population lives in cities.
677,bullet,noun,b2,/?b?l?t/,/?b?l?t/,子弹（从枪中射出的细小金属物体）,a small metal object that is fired from a gun,He was found to have a single bullet wound in his chest.
678,bunch,noun,b2,/b?nt?/,/b?nt?/,串，束（生长或固定在一起的若干同类物品，如香蕉）,a number of things of the same type which are growing or fastened together,"a bunch of bananas, grapes, etc."
679,burden,noun,c1,/?b??dn/,/?b??rdn/,负担（引起担忧、困难或辛苦工作的职责、责任等）,"a duty, responsibility, etc. that causes worry, difficulty or hard work",to bear/carry/ease/reduce/share the burden
680,bureaucracy,noun,c1,/bj???r?kr?si/,/bj??rɑ?kr?si/,官僚主义（政府或组织的官方规则和办事方式，尤指显得过于复杂时）,"the system of official rules and ways of doing things that a government or an organization has, especially when these seem to be too complicated",unnecessary/excessive bureaucracy
681,burial,noun,c1,/?beri?l/,/?beri?l/,埋葬，葬礼（埋葬尸体的行为或仪式）,the act or ceremony of burying a dead body,a burial place/mound/site
682,burn,noun,b2,/b??n/,/b??rn/,烧伤，烫伤（由火、热或酸造成的伤害或痕迹）,"an injury or a mark caused by fire, heat or acid",to have minor/severe/third-degree burns
683,burn,verb,a2,/b??n/,/b??rn/,燃烧（产生火焰和热量）,to produce flames and heat,A welcoming fire was burning in the fireplace.
684,burst,verb,c1,/b??st/,/b??rst/,破裂，爆发（因内部压力而裂开；使某物以此方式破裂）,"to break open or apart, especially because of pressure from inside; to make something break in this way",That balloon will burst if you blow it up any more.
685,bury,verb,b1,/?beri/,/?beri/,埋葬（将尸体置于地下）,to place a dead body in the ground,"bury somebody/something, They killed her and buried her body."
686,bus,noun,a1,/b?s/,/b?s/,公共汽车（运送乘客的大型道路车辆，通常有固定路线和停靠站）,"a large road vehicle that carries passengers, especially one that travels along a fixed route and stops regularly to let people get on and off","by bus, Shall we walk or go by bus?"
687,bush,noun,b2,/b??/,/b??/,灌木（由根部长出数条硬茎、生长茂密的植物）,a plant that grows thickly with several hard stems coming up from the root,a rose/holly bush
688,business,noun,a1,/?b?zn?s/,/?b?zn?s/,生意，商业（为了赚钱而制造、买卖或供应商品、服务的活动）,"the activity of making, buying, selling or supplying goods or services for money",It's been a pleasure to do business with you.
689,businessman,noun,a2,/?b?zn?sm?n/,/?b?zn?sm?n/,商人（从事商业工作的人，尤指高层人员）,"a man who works in business, especially at a high level",a group of visiting Italian politicians and businessmen
690,busy,adjective,a1,/?b?zi/,/?b?zi/,忙碌的（有许多事要做；因正在工作而可能没空做别的事）,having a lot to do; perhaps not free to do something else because you are working on something,Are you busy tonight?
691,but,conjunction,a1,/b?t/,/b?t/,但是（用于引入与前述内容对比的词或短语）,used to introduce a word or phrase that contrasts with what was said before,I got it wrong. It wasn't the red one but the blue one.
692,but,preposition,b2,/b?t/,/b?t/,除...之外（除了；除却）,except; apart from,We've had nothing but trouble with this car.
693,butter,noun,a1,/?b?t?(r)/,/?b?t?r/,黄油（由奶油制成的软黄色食品，用于烹饪和涂抹面包）,"a soft yellow food made from cream, used in cooking and for spreading on bread",Fry the onions in butter.
694,button,noun,a2,/?b?tn/,/?b?tn/,按钮（缝在衣服上的小圆片金属或塑料，用于扣紧两个部分）,"a small round piece of metal, plastic, etc. that is sewn onto a piece of clothing and used for fastening two parts together","(British English), to do up/undo your buttons"
695,buy,verb,a1,/ba?/,/ba?/,买（通过付钱获得某物）,to obtain something by paying money for it,"buy (something), Where did you buy that dress?"
696,by,adverb,b1,/ba?/,/ba?/,经过（经过；不停留）,past,Just drive by. Don't stop.
697,by,preposition,a1,/ba?/,/ba?/,由，通过（用于显示某事是如何完成的或以何种方式完成）,used for showing how or in what way something is done,The house is heated by gas.
698,bye,exclamation,a1,/ba?/,/ba?/,再见（告别语）,goodbye,Bye! See you next week.
699,cabin,noun,b2,/?k?b?n/,/?k?b?n/,舱，小木屋（船上居住或睡觉的小房间；小木屋）,a small room on a ship in which you live or sleep,I lay in my cabin feeling miserably seasick.
700,cabinet,noun,c1,/?k?b?n?t/,/?k?b?n?t/,内阁（政府中负责建议和决定政策的高级成员团体）,a group of senior members of a government that is responsible for advising and deciding on government policy,a cabinet meeting
701,cable,noun,b2,/?ke?bl/,/?ke?bl/,电缆，电线（覆盖塑料或橡胶、传输电力或信号的一组电线）,"a set of wires, covered in plastic or rubber, that carries electricity, phone signals, etc.",fibre-optic cable
702,cafe,noun,a1,/?k?fe?/,/k??fe?/,咖啡馆（可以买饮料和简餐的场所，通常不供应酒精）,a place where you can buy drinks and simple meals. Alcohol is not usually served in British or American cafes.,There are small shops and pavement cafes around every corner.
703,cake,noun,a1,/ke?k/,/ke?k/,蛋糕（由面粉、鸡蛋、黄油、糖等混合烘焙而成的甜食）,"a sweet food made from a mixture of flour, eggs, butter, sugar, etc. that is baked in an oven. Cakes are made in various shapes and sizes and are often decorated, for example with cream or icing.",a piece/slice of cake
704,calculate,verb,b2,/?k?lkjule?t/,/?k?lkjule?t/,计算（使用数字找出总数、金额、距离等）,"to use numbers to find out a total number, amount, distance, etc.","calculate something, An independent valuer will calculate the value of your property."
705,calculation,noun,c1,/?k?lkju?le??n/,/?k?lkju?le??n/,计算（使用数字找出数额的行为或过程）,the act or process of using numbers to find out an amount,Cathy did a rough calculation.
706,call,noun,a1,/k??l/,/k??l/,电话（在电话上与某人交谈的行为）,the act of speaking to somebody on the phone,to get/receive a call from somebody
707,call,verb,a1,/k??l/,/k??l/,呼唤，称呼（给某人/某物起名；在谈话中使用特定的名字或称谓）,to give somebody/something a particular name; to use a particular name or title when you are talking to somebody,"call somebody/something + noun, They decided to call the baby Mark."
708,calm,adjective,b1,/kɑ?m/,/kɑ?m/,冷静的（不兴奋、不紧张或不难过的）,"not excited, nervous or upset",It is important to keep calm in an emergency.
709,calm,noun,b1,/kɑ?m/,/kɑ?m/,冷静，平静（安静而和平的时间或情况）,a quiet and peaceful time or situation,The police appealed for calm.
710,calm,verb,b1,/kɑ?m/,/kɑ?m/,使冷静（使某人/某事变得安静和放松，尤指在强烈情感之后）,"to make somebody/something become quiet and more relaxed, especially after strong emotion or excitement",Have some tea; it'll calm your nerves.
711,camera,noun,a1,/?k?mr?/,/?k?mr?/,照相机（拍摄照片、电影或电视画面的设备）,"a piece of equipment for taking photographs, moving pictures or television pictures. It can be a separate item or part of another device.",Just point the camera and press the button.
712,camp,noun,a2,/k?mp/,/k?mp/,营地（人们暂时居住在帐篷或临时建筑中的地方）,a place where people live temporarily in tents or temporary buildings,Let's return to camp.
713,camp,verb,a2,/k?mp/,/k?mp/,露营（搭建帐篷并短时间居住在其中）,to put up a tent and live in it for a short time,I camped overnight in a field.
714,campaign,noun,b1,/k?m?pe?n/,/k?m?pe?n/,活动，运动（旨在实现特定社会、商业或政治目标的一系列计划活动）,"a series of planned activities that are intended to achieve a particular social, commercial or political aim",an anti-smoking campaign
715,campaign,verb,b1,/k?m?pe?n/,/k?m?pe?n/,参加活动（参加或领导旨在实现社会变革或赢得选举的活动）,"to take part in or lead a campaign, for example to achieve social or political change, or in order to win an election",The party campaigned vigorously in the north of the country.
716,camping,noun,a2,/?k?mp??/,/?k?mp??/,露营（度假时住在帐篷等地方）,"living in a tent, etc. on holiday",Do you go camping?
717,campus,noun,b1,/?k?mp?s/,/?k?mp?s/,校园（大学或学院的建筑及其周围的土地）,the buildings of a university or college and the land around them,university/college campuses
718,can,noun,a2,/k?n/,/k?n/,罐头（售卖食物或饮料的金属容器）,a metal container in which food and drink is sold,"can of something, a can of beans/beer/soda"
719,can,modal verb,a1,/k?n/,/k?n/,能（用于说明某人/某事可能做某事，或某事可能发生）,"used to say that it is possible for somebody/something to do something, or for something to happen",I can run fast.
720,canal,noun,b2,/k??n?l/,/k??n?l/,运河（地面挖掘的供船只航行的长直水道；或用于灌溉的小水道）,"a long straight passage dug in the ground and filled with water for boats and ships to travel along; a smaller passage used for carrying water to fields, crops, etc.",the Panama/Suez Canal
721,cancel,verb,b2,/?k?nsl/,/?k?nsl/,取消（决定已安排好的事情不再进行）,to decide that something that has been arranged will not now take place,All flights have been cancelled because of bad weather.
722,cancer,noun,b2,/?k?ns?(r)/,/?k?ns?r/,癌症（严重的疾病，体内细胞异常生长并杀死正常细胞）,"a serious disease in which growths of cells, also called cancers, form in the body and kill normal body cells. The disease often causes death.",breast/lung cancer
723,candidate,noun,b1,/?k?nd?d?t/,/?k?nd?d?t/,候选人（试图竞选职位或申请工作的人）,a person who is trying to be elected or is applying for a job,a presidential candidate
724,candle,noun,b2,/?k?ndl/,/?k?ndl/,蜡烛（中间带芯的圆蜡棒，点燃后发光）,a round stick of wax with a piece of string (called a wick) through the middle that is lit to give light as it burns,a flickering candle
725,cannot,modal verb,a1,/?k?n?t/,/?k?nɑ?t/,不能（can的否定形式）,the negative of can; can not,I cannot believe the price of the tickets!
726,canvas,noun,c1,/?k?nv?s/,/?k?nv?s/,帆布（用于制作帐篷、帆及供艺术家绘画的强韧粗糙材料）,"a strong heavy rough material used for making tents, sails, etc. and by artists for painting on",tents made from heavy canvas
727,cap,noun,b1,/k?p/,/k?p/,盖，帽（带帽檐的软质平帽，常作为制服的一部分）,"a type of soft flat hat with a peak (= a hard curved part sticking out in front). Caps are worn especially by men and boys, often as part of a uniform",to wear a cap.
728,capability,noun,c1,/?ke?p??b?l?ti/,/?ke?p??b?l?ti/,能力（做某事所需的才能或素质）,the ability or qualities necessary to do something,Age affects the range of a person's capabilities.
729,capable,adjective,b2,/?ke?p?bl/,/?ke?p?bl/,有能力的（具备做某事所需的才能或素质）,having the ability or qualities necessary for doing something,"capable of something, You are capable of better work than this."
730,capacity,noun,b2,/k??p?s?ti/,/k??p?s?ti/,容量（容器或空间能容纳的东西或人的数量）,the number of things or people that a container or space can hold,a fuel tank with a maximum capacity of 50 litres
731,capital,adjective,a1,/?k?p?tl/,/?k?p?tl/,大写的（用于句子开头或名称的字母形状和大小）,having the form and size used at the beginning of a sentence or a name,English is written with a capital ‘E’.
732,capital,noun,a1,/?k?p?tl/,/?k?p?tl/,首都，省会（国家或地区最重要的城镇或城市，政府所在地）,"the most important town or city of a country or region, where the government operates from",Cairo is the capital of Egypt.
733,capitalism,noun,c1,/?k?p?t?l?z?m/,/?k?p?t?l?z?m/,资本主义（企业的生产和经营由私人控制以获取利润的经济制度）,an economic system in which a country’s businesses and industry are controlled and run for profit by private owners rather than by the government,the growth of industrial capitalism in the West
734,capitalist,adjective,c1,/?k?p?t?l?st/,/?k?p?t?l?st/,资本主义的（基于资本主义原则的）,based on the principles of capitalism,a capitalist society/system/economy
735,captain,noun,b1,/?k?pt?n/,/?k?pt?n/,船长，机长（负责船只或商业飞机的负责人）,the person in charge of a ship or commercial aircraft,Captain Cook
736,capture,noun,b2,/?k?pt??(r)/,/?k?pt??r/,捕获（捕捉某人/某物或被捕捉的行为）,the act of capturing somebody/something or of being captured,He evaded capture for three days.
737,capture,verb,b2,/?k?pt??(r)/,/?k?pt??r/,捕捉（抓住人或动物并将其关押，使其无法逃脱）,to catch a person or an animal and keep them as a prisoner or shut them in a space that they cannot escape from,Allied troops captured over 300 enemy soldiers.
738,car,noun,a1,/kɑ?(r)/,/kɑ?r/,汽车（带引擎、有四个轮子且能载少量乘客的道路车辆）,a road vehicle with an engine and four wheels that can carry a small number of passengers,Paula got into the car and drove off.
739,carbon,noun,b2,/?kɑ?b?n/,/?kɑ?rb?n/,碳（一种化学元素，存在于所有生物中，纯态下为钻石或石墨）,"a chemical element. Carbon is found in all living things, existing in a pure state as diamond and graphite.",carbon fibre
740,card,noun,a1,/kɑ?d/,/kɑ?rd/,卡片，硬纸板（厚且坚硬的纸；用于书写的一片这种纸）,"thick, stiff paper; a piece of this for writing on",a piece of card
741,care,noun,a2,/ke?(r)/,/ker/,照料，护理（照顾某人/某物并提供健康或保护所需的过程）,the process of caring for somebody/something and providing what they need for their health or protection,Some people were badly injured and needed medical care.
742,care,verb,a2,/ke?(r)/,/ker/,在乎，关心（觉得某事重要且值得担心）,to feel that something is important and worth worrying about,I don't care (= I will not be upset) if I never see him again!
743,career,noun,a1,/k??r??(r)/,/k??r?r/,职业生涯（一个人在特定工作领域的一系列工作经历，通常随时间增加责任）,"the series of jobs that a person has in a particular area of work, usually involving more responsibility as time passes",a teaching career
744,careful,adjective,a2,/?ke?fl/,/?kerfl/,小心的（对所做之事给予注意或思考，以避免受伤、损坏或出错）,"giving attention or thought to what you are doing so that you avoid hurting yourself, damaging something or doing something wrong",Be careful!
745,carefully,adverb,a2,/?ke?f?li/,/?kerf?li/,小心地（带着极大的注意或思考，以避免伤害、损坏或错误）,"with a lot of attention or thought, so that you avoid hurting yourself, damaging something or doing something wrong",Drive carefully.
746,careless,adjective,b1,/?ke?l?s/,/?kerl?s/,粗心的（对所做之事没有给予足够的注意和思考，导致出错）,"not giving enough attention and thought to what you are doing, so that you make mistakes",careless driving
747,cargo,noun,c1,/?kɑ?ɡ??/,/?kɑ?rɡ??/,货物（船只、飞机或机动车辆装载的物品）,"the goods carried in a ship, an aircraft or a motor vehicle",The tanker began to spill its cargo of oil.
748,carpet,noun,a2,/?kɑ?p?t/,/?kɑ?rp?t/,地毯（用于覆盖房间地面或楼梯的厚织材料，通常由羊毛制成）,"a piece of thick woven material made of wool, etc., used to cover the floor of a room or stairs; the material used for carpets",He spent the morning laying the new carpet.
749,carriage,noun,c1,/?k?r?d?/,/?k?r?d?/,车厢（火车中用于载客的独立部分）,a separate section of a train for carrying passengers,a railway carriage
750,carrot,noun,a1,/?k?r?t/,/?k?r?t/,胡萝卜（长尖形状的橙色根茎类蔬菜）,a long pointed orange root vegetable,grated carrot
751,carry,verb,a1,/?k?ri/,/?k?ri/,携带，运送（支撑重量并将其从一处带到另一处）,to support the weight of somebody/something and take them or it from place to place; to take somebody/something from one place to another,"carry somebody/something, He was carrying a large bag."
752,cartoon,noun,a2,/kɑ??tu?n/,/kɑ?r?tu?n/,漫画，卡通（报纸或杂志中幽默的绘画，尤指关于政治或新闻事件）,"a humorous drawing in a newspaper or magazine, especially one about politics or events in the news",a political/satirical cartoon
753,carve,verb,c1,/kɑ?v/,/kɑ?rv/,雕刻（通过切割木头、石头或其他硬质材料制作物体或图案）,"to make objects, patterns, etc. by cutting away material from a piece of wood or stone, or another hard material","carve something, a carved doorway"
754,case,noun,a2,/ke?s/,/ke?s/,情况，案例（特定的情况或特定类型的状况）,a particular situation or a situation of a particular type,"in… cases, In some cases people have had to wait several weeks for an appointment."
755,cash,noun,a2,/k??/,/k??/,现金（硬币或纸币形式的钱）,money in the form of coins or notes,How much cash do you have on you?
756,casino,noun,c1,/k??si?n??/,/k??si?n??/,赌场（供人们进行金钱赌博游戏的公共建筑或房间）,a public building or room where people play gambling games for money,a new hotel and casino in Las Vegas
757,cast,noun,b2,/kɑ?st/,/k?st/,全体演员（在戏剧或电影中表演的所有人）,all the people who act in a play or film,an all-star cast (= including many well-known actors)
758,cast,verb,b2,/kɑ?st/,/k?st/,投射（朝特定方向注视、微笑等）,"to look, smile, etc. in a particular direction","cast something + adv./prep., She cast a welcoming smile in his direction."
759,castle,noun,a2,/?kɑ?sl/,/?k?sl/,城堡（带有厚墙和塔楼的大型坚固建筑，过去由国王等建造以防御攻击）,"a large strong building with thick, high walls and towers, built in the past by kings or queens, or other important people, to defend themselves against attack",a medieval castle
760,casual,adjective,b2,/?k??u?l/,/?k??u?l/,非正式的，休闲的（不正式的，如在空闲时间穿的舒适衣服）,not formal,casual clothes (= comfortable clothes that you choose to wear in your free time)
761,casualty,noun,c1,/?k??u?lti/,/?k??u?lti/,伤亡人员（在战争或事故中死亡或受伤的人）,a person who is killed or injured in war or in an accident,Our primary objective is reducing road casualties.
762,cat,noun,a1,/k?t/,/k?t/,猫（人们常作为宠物饲养的小型皮毛动物）,a small animal with soft fur that people often keep as a pet. Cats catch and kill birds and mice.,a tin of cat food 
763,catalogue,noun,c1,/?k?t?l?ɡ/,/?k?t?l??ɡ/,目录（完整的物品清单，如供人们查看或购买的东西）,"a complete list of items, for example of things that people can look at or buy",a mail-order catalogue (= a book showing goods for sale to be sent to people’s homes)
764,catch,noun,b2,/k?t?/,/k?t?/,接，抓（接住某物，例如球的行为）,"an act of catching something, for example a ball",Roger made some brilliant catches at today's game.
765,catch,verb,a2,/k?t?/,/k?t?/,接住，抓住（停止并握住移动的物体或人，尤指用手）,"to stop and hold a moving object or person, especially in your hands",She managed to catch the keys as they fell.
766,category,noun,b1,/?k?t?ɡ?ri/,/?k?t?ɡ??ri/,类别（具有共同特征的一群人或事物）,a group of people or things with particular features in common,These are the nominees from each category.
767,cater,verb,c1,/?ke?t?(r)/,/?ke?t?r/,承办酒席（为社交活动提供食物和饮料）,to provide food and drinks for a social event,"(British English), cater for somebody/something, Most of our work now involves catering for weddings."
768,cattle,noun,c1,/?k?tl/,/?k?tl/,牲畜（作为农场动物饲养以获取奶或肉的牛类）,cows and bulls that are kept as farm animals for their milk or meat,a herd of cattle
